ts,funding
2021-01-01 00:00:00.002,0.0001
2021-01-01 08:00:00.006,0.0001
2021-01-01 16:00:00.003,0.0001
2021-01-02 00:00:00.000,0.0001
2021-01-02 08:00:00.000,0.0001
2021-01-02 16:00:00.006,0.0001
2021-01-03 00:00:00.018,0.0001
2021-01-03 08:00:00.000,0.0001
2021-01-03 16:00:00.002,0.00100693
2021-01-04 00:00:00.000,0.00054145
2021-01-04 08:00:00.000,0.00118563
2021-01-04 16:00:00.000,0.0001
2021-01-05 00:00:00.020,0.0001
2021-01-05 08:00:00.003,0.0001
2021-01-05 16:00:00.003,0.00033098
2021-01-06 00:00:00.010,0.00043033
2021-01-06 08:00:00.003,0.0009052
2021-01-06 16:00:00.000,0.00146594
2021-01-07 00:00:00.007,0.00096062
2021-01-07 08:00:00.000,0.00191471
2021-01-07 16:00:00.004,0.00222768
2021-01-08 00:00:00.000,0.00124656
2021-01-08 08:00:00.000,0.0001
2021-01-08 16:00:00.000,0.00098079
2021-01-09 00:00:00.009,0.00083637
2021-01-09 08:00:00.004,0.00102115
2021-01-09 16:00:00.000,0.00109407
2021-01-10 00:00:00.000,0.00243859
2021-01-10 08:00:00.005,0.00303549
2021-01-10 16:00:00.000,0.00075094
2021-01-11 00:00:00.000,0.0010488
2021-01-11 08:00:00.012,0.00015792
2021-01-11 16:00:00.000,0.0001
2021-01-12 00:00:00.000,0.0001
2021-01-12 08:00:00.000,0.00013347
2021-01-12 16:00:00.008,0.0001
2021-01-13 00:00:00.001,0.00013763
2021-01-13 08:00:00.000,0.0001
2021-01-13 16:00:00.003,0.0001
2021-01-14 00:00:00.000,0.00091868
2021-01-14 08:00:00.012,0.00088124
2021-01-14 16:00:00.000,0.00096803
2021-01-15 00:00:00.002,0.00014563
2021-01-15 08:00:00.000,0.00042555
2021-01-15 16:00:00.004,0.00027448
2021-01-16 00:00:00.000,0.00010519
2021-01-16 08:00:00.008,0.0001
2021-01-16 16:00:00.000,0.00054682
2021-01-17 00:00:00.009,0.00057355
2021-01-17 08:00:00.000,-0.00089684
2021-01-17 16:00:00.001,0.00119514
2021-01-18 00:00:00.000,0.00125843
2021-01-18 08:00:00.004,0.00070515
2021-01-18 16:00:00.000,0.00125007
2021-01-19 00:00:00.000,0.00135915
2021-01-19 08:00:00.005,0.00225711
2021-01-19 16:00:00.012,0.00248439
2021-01-20 00:00:00.012,0.0016807
2021-01-20 08:00:00.001,0.00107706
2021-01-20 16:00:00.001,0.00044028
2021-01-21 00:00:00.000,0.00084763
2021-01-21 08:00:00.000,0.00064974
2021-01-21 16:00:00.004,0.00048192
2021-01-22 00:00:00.012,0.0001
2021-01-22 08:00:00.003,0.0001
2021-01-22 16:00:00.001,0.0001
2021-01-23 00:00:00.000,0.00050859
2021-01-23 08:00:00.002,0.0006053
2021-01-23 16:00:00.000,0.0001
2021-01-24 00:00:00.001,0.00049211
2021-01-24 08:00:00.011,0.0001
2021-01-24 16:00:00.005,0.0001
2021-01-25 00:00:00.007,0.0001
2021-01-25 08:00:00.012,0.00024163
2021-01-25 16:00:00.000,0.00021447
2021-01-26 00:00:00.007,0.0001
2021-01-26 08:00:00.000,0.0001
2021-01-26 16:00:00.000,0.0001
2021-01-27 00:00:00.000,0.0001
2021-01-27 08:00:00.011,0.00010108
2021-01-27 16:00:00.003,0.0001
