ts,num_trades,taker_buy_ratio
2021-01-01 00:00:00,162751,0.5313614501788783
2021-01-01 04:00:00,372978,0.4976868249469377
2021-01-01 08:00:00,249869,0.4954884232009727
2021-01-01 12:00:00,247060,0.48507108413109223
2021-01-01 16:00:00,390310,0.4857188328417374
2021-01-01 20:00:00,159730,0.4885136991126749
2021-01-02 00:00:00,148332,0.4648432975090261
2021-01-02 04:00:00,120638,0.4889744992639664
2021-01-02 08:00:00,206453,0.4658667678527104
2021-01-02 12:00:00,186107,0.5060884608219939
2021-01-02 16:00:00,251259,0.48982571942511965
2021-01-02 20:00:00,250852,0.5185547030155645
2021-01-03 00:00:00,125420,0.48157527806882494
2021-01-03 04:00:00,142397,0.48067532554451997
2021-01-03 08:00:00,159467,0.48849811095034773
2021-01-03 12:00:00,167443,0.4796460796151778
2021-01-03 16:00:00,288341,0.4828277861508878
2021-01-03 20:00:00,136747,0.46299486601234063
2021-01-04 00:00:00,154208,0.4841874689096662
2021-01-04 04:00:00,352778,0.488601999469887
2021-01-04 08:00:00,343698,0.467463931116764
2021-01-04 12:00:00,169815,0.4791329618807224
2021-01-04 16:00:00,177248,0.48182590837957356
2021-01-04 20:00:00,137688,0.48112074816754313
2021-01-05 00:00:00,141897,0.45824912573636495
2021-01-05 04:00:00,124403,0.4864440084911215
2021-01-05 08:00:00,140214,0.4998010565452403
2021-01-05 12:00:00,354022,0.4907285088411227
2021-01-05 16:00:00,166713,0.4903944394759003
2021-01-05 20:00:00,118634,0.4768814096226267
2021-01-06 00:00:00,149604,0.47307508283031335
2021-01-06 04:00:00,106515,0.48411106511276447
2021-01-06 08:00:00,126896,0.466802047599114
2021-01-06 12:00:00,493603,0.49505303167173886
2021-01-06 16:00:00,219104,0.4896415069441869
2021-01-06 20:00:00,205887,0.4834304613657312
2021-01-07 00:00:00,226903,0.5012117573632678
2021-01-07 04:00:00,693020,0.49443445681366843
2021-01-07 08:00:00,664430,0.5047930495213885
