ts,num_trades,taker_buy_ratio
2021-01-01 00:00:00,34701,0.4664449902248382
2021-01-01 04:00:00,20484,0.4879700855971969
2021-01-01 08:00:00,25701,0.48024436437870627
2021-01-01 12:00:00,19512,0.4670839914783513
2021-01-01 16:00:00,23403,0.43632657483716314
2021-01-01 20:00:00,17135,0.5282164770773438
2021-01-02 00:00:00,19053,0.45099326346018914
2021-01-02 04:00:00,10710,0.4606359470925396
2021-01-02 08:00:00,14654,0.4701274416802833
2021-01-02 12:00:00,12427,0.4874338593913454
2021-01-02 16:00:00,19041,0.43417296823114443
2021-01-02 20:00:00,14065,0.4891887007198964
2021-01-03 00:00:00,9644,0.4640025188454884
2021-01-03 04:00:00,8005,0.4867046959678738
2021-01-03 08:00:00,14752,0.48820754330644167
2021-01-03 12:00:00,23232,0.4874754118910211
2021-01-03 16:00:00,19376,0.43938376353474073
2021-01-03 20:00:00,31945,0.49304531869493506
2021-01-04 00:00:00,30060,0.5252390352016976
2021-01-04 04:00:00,47953,0.4708168106748201
2021-01-04 08:00:00,55524,0.46771597316150754
2021-01-04 12:00:00,11516,0.43785992886455627
2021-01-04 16:00:00,8947,0.5242462790104386
2021-01-04 20:00:00,14475,0.49515496812500825
2021-01-05 00:00:00,19235,0.4736566465447314
2021-01-05 04:00:00,13514,0.43342565825887097
2021-01-05 08:00:00,12954,0.48697384322320314
2021-01-05 12:00:00,24195,0.44082465462274173
2021-01-05 16:00:00,24623,0.45714975057907564
2021-01-05 20:00:00,10488,0.5315076646150274
2021-01-06 00:00:00,11459,0.46047334309350246
2021-01-06 04:00:00,12153,0.43012397484678044
2021-01-06 08:00:00,11575,0.4977003783478737
2021-01-06 12:00:00,23300,0.4579124194151507
2021-01-06 16:00:00,21453,0.3999364146183834
2021-01-06 20:00:00,16820,0.43444870490140264
2021-01-07 00:00:00,13228,0.44918854994131213
2021-01-07 04:00:00,32507,0.48475366145237697
2021-01-07 08:00:00,22503,0.46186639718576045
2021-01-07 12:00:00,20840,0.445644425931575
2021-01-07 16:00:00,24832,0.44183017110507633
2021-01-07 20:00:00,14748,0.45012307415699554
2021-01-08 00:00:00,26121,0.45751809434745094
2021-01-08 04:00:00,19717,0.4379293709097116
2021-01-08 08:00:00,15534,0.4830158387076674
2021-01-08 12:00:00,16087,0.4331204611938771
2021-01-08 16:00:00,12212,0.4727397773285052
2021-01-08 20:00:00,10103,0.4407099031053688
2021-01-09 00:00:00,9107,0.47109564662887954
2021-01-09 04:00:00,8115,0.4917259221241525
2021-01-09 08:00:00,14607,0.44147300135270157
2021-01-09 12:00:00,13941,0.4136621601723216
2021-01-09 16:00:00,10118,0.4729860385968983
2021-01-09 20:00:00,12741,0.4768488091587725
2021-01-10 00:00:00,58119,0.47742803975050957
2021-01-10 04:00:00,29030,0.46088594290319207
2021-01-10 08:00:00,54600,0.42995992497007457
2021-01-10 12:00:00,31969,0.4510178054600793
2021-01-10 16:00:00,55691,0.46872162168725284
2021-01-10 20:00:00,33319,0.4675129099525486
2021-01-11 00:00:00,44842,0.40125962591195985
2021-01-11 04:00:00,31864,0.47975962444526776
2021-01-11 08:00:00,19794,0.47057857224563027
2021-01-11 12:00:00,41463,0.4827255340638335
2021-01-11 16:00:00,35179,0.45938033148612034
2021-01-11 20:00:00,14845,0.4939100917110349
2021-01-12 00:00:00,13031,0.47728490259485373
2021-01-12 04:00:00,13993,0.441985797938312
2021-01-12 08:00:00,12733,0.4203718513077976
2021-01-12 12:00:00,15666,0.44384209507620065
2021-01-12 16:00:00,18486,0.4563074284083315
2021-01-12 20:00:00,15593,0.4201030740339277
2021-01-13 00:00:00,23100,0.4788185619576477
2021-01-13 04:00:00,11639,0.492804466204279
2021-01-13 08:00:00,10688,0.41261671670865596
2021-01-13 12:00:00,16287,0.4833680561325902
2021-01-13 16:00:00,9379,0.4715747037027744
2021-01-13 20:00:00,13067,0.48849944345593554
2021-01-14 00:00:00,9312,0.47630459824869864
2021-01-14 04:00:00,10265,0.40628025203661666
2021-01-14 08:00:00,8240,0.41082160581653965
2021-01-14 12:00:00,21979,0.40823089461752915
2021-01-14 16:00:00,19166,0.36289373411939885
2021-01-14 20:00:00,14462,0.4685878363124907
2021-01-15 00:00:00,12825,0.46949067283519935
2021-01-15 04:00:00,11796,0.4601565209189292
2021-01-15 08:00:00,19198,0.429878450447412
2021-01-15 12:00:00,20676,0.4113590803346038
2021-01-15 16:00:00,17216,0.44752256883471847
2021-01-15 20:00:00,8625,0.46155672339185705
2021-01-16 00:00:00,15102,0.46622963505749093
2021-01-16 04:00:00,12380,0.44116663845407794
2021-01-16 08:00:00,8572,0.44961371259688393
2021-01-16 12:00:00,17188,0.4686730853985151
2021-01-16 16:00:00,140187,0.4703272458814945
2021-01-16 20:00:00,26674,0.4440749444155875
2021-01-17 00:00:00,95672,0.4629340999242311
2021-01-17 04:00:00,61588,0.5135034562800455
2021-01-17 08:00:00,93837,0.49004296016593873
2021-01-17 12:00:00,89259,0.5278860388183173
2021-01-17 16:00:00,61316,0.44422625359503376
2021-01-17 20:00:00,36409,0.45575880531297724
2021-01-18 00:00:00,37568,0.4280233974286836
2021-01-18 04:00:00,20961,0.47962090767710686
2021-01-18 08:00:00,29609,0.44715307132961357
2021-01-18 12:00:00,30314,0.4418394617457606
2021-01-18 16:00:00,22366,0.5135485856384188
2021-01-18 20:00:00,22772,0.4499564866715996
2021-01-19 00:00:00,31189,0.47418682937916873
2021-01-19 04:00:00,16506,0.35912056603766784
2021-01-19 08:00:00,62215,0.5332921937483693
2021-01-19 12:00:00,17783,0.4429594547038218
2021-01-19 16:00:00,22750,0.437506036860199
2021-01-19 20:00:00,17073,0.417887160039356
2021-01-20 00:00:00,24108,0.44782443813642625
2021-01-20 04:00:00,16176,0.4568653580161377
2021-01-20 08:00:00,26426,0.4505156666638257
2021-01-20 12:00:00,19670,0.4383559622921717
2021-01-20 16:00:00,18212,0.45922281693017664
2021-01-20 20:00:00,74039,0.46708208296404957
2021-01-21 00:00:00,16157,0.4779548381226027
2021-01-21 04:00:00,18761,0.41036650460554674
2021-01-21 08:00:00,25986,0.39496309013160197
2021-01-21 12:00:00,23885,0.4550436238638328
2021-01-21 16:00:00,16120,0.461394883608471
2021-01-21 20:00:00,39025,0.3932375299808935
2021-01-22 00:00:00,116416,0.4677676422273321
2021-01-22 04:00:00,41030,0.4504142501898499
2021-01-22 08:00:00,26433,0.46124392442223133
2021-01-22 12:00:00,48964,0.4727347245664589
2021-01-22 16:00:00,38067,0.4463763239495844
2021-01-22 20:00:00,22494,0.42294593019664567
2021-01-23 00:00:00,37959,0.45938378636625804
2021-01-23 04:00:00,47842,0.45172211516383404
2021-01-23 08:00:00,44339,0.3860636847197233
2021-01-23 12:00:00,34797,0.4900545875263833
2021-01-23 16:00:00,38255,0.4386920186993412
2021-01-23 20:00:00,16597,0.5055654219402362
2021-01-24 00:00:00,29584,0.4120756740114764
2021-01-24 04:00:00,18773,0.45673762796692213
2021-01-24 08:00:00,18661,0.47423801450761344
2021-01-24 12:00:00,26459,0.4163859819324276
2021-01-24 16:00:00,19792,0.3909957571630612
2021-01-24 20:00:00,14343,0.4861857317786549
2021-01-25 00:00:00,15809,0.4607705880813617
2021-01-25 04:00:00,15895,0.43773695388767137
2021-01-25 08:00:00,17184,0.44948761338959536
2021-01-25 12:00:00,19847,0.4169304560652936
2021-01-25 16:00:00,15602,0.44077660392280077
2021-01-25 20:00:00,26126,0.3714329214039843
2021-01-26 00:00:00,17661,0.456019977763467
2021-01-26 04:00:00,15095,0.496827924558652
2021-01-26 08:00:00,14198,0.4728342130037306
2021-01-26 12:00:00,19621,0.4353503044969195
2021-01-26 16:00:00,20222,0.4371113107377023
2021-01-26 20:00:00,16485,0.4531016431885057
2021-01-27 00:00:00,17545,0.4296714364572176
2021-01-27 04:00:00,15187,0.3826765685728434
2021-01-27 08:00:00,23997,0.41886425552000617
2021-01-27 12:00:00,21483,0.40468944546358043
2021-01-27 16:00:00,16478,0.4461096663744099
2021-01-27 20:00:00,11640,0.4448015370029226
2021-01-28 00:00:00,15627,0.44400961603177286
2021-01-28 04:00:00,10305,0.4011568387011353
2021-01-28 08:00:00,17211,0.43815171774973555
2021-01-28 12:00:00,15071,0.47194493128019555
2021-01-28 16:00:00,10119,0.41940507776642133
2021-01-28 20:00:00,10863,0.5342269964494193
2021-01-29 00:00:00,17484,0.49935656574555976
2021-01-29 04:00:00,23827,0.45464614531321096
2021-01-29 08:00:00,39155,0.48742769079159703
2021-01-29 12:00:00,28030,0.4311117459907318
2021-01-29 16:00:00,21802,0.42746083445350824
2021-01-29 20:00:00,7970,0.4844112653703442
2021-01-30 00:00:00,22711,0.4514358015515926
2021-01-30 04:00:00,12411,0.4595590552008066
2021-01-30 08:00:00,15755,0.45538786588711866
2021-01-30 12:00:00,13304,0.49686252765532274
2021-01-30 16:00:00,15816,0.4564562951839278
2021-01-30 20:00:00,6677,0.42536585273879296
2021-01-31 00:00:00,11053,0.46967438037175685
2021-01-31 04:00:00,12723,0.46618974296811366
2021-01-31 08:00:00,18384,0.4744512276204035
2021-01-31 12:00:00,23981,0.3816062975259268
2021-01-31 16:00:00,13490,0.44198452688065243
2021-01-31 20:00:00,10771,0.49633802992363374
2021-02-01 00:00:00,15541,0.4622694068542374
2021-02-01 04:00:00,67389,0.5402801993564121
2021-02-01 08:00:00,60676,0.41717418821887553
2021-02-01 12:00:00,56582,0.4416532052418256
2021-02-01 16:00:00,62781,0.3957925044594287
2021-02-01 20:00:00,11908,0.4886117610250592
2021-02-02 00:00:00,23823,0.4481575615576175
2021-02-02 04:00:00,10805,0.4433411740137999
2021-02-02 08:00:00,14198,0.42142489948982
2021-02-02 12:00:00,22184,0.4947349566051707
2021-02-02 16:00:00,10334,0.4639352045117829
2021-02-02 20:00:00,8342,0.41032489585598847
2021-02-03 00:00:00,11756,0.47608871383634854
2021-02-03 04:00:00,8679,0.4238419507521981
2021-02-03 08:00:00,10683,0.46932676300054454
2021-02-03 12:00:00,31143,0.43747045038261423
2021-02-03 16:00:00,22348,0.4274632566327498
2021-02-03 20:00:00,9457,0.4160427167637535
2021-02-04 00:00:00,18451,0.3633932073129777
2021-02-04 04:00:00,15164,0.4998373271278899
2021-02-04 08:00:00,35008,0.4283483760412468
2021-02-04 12:00:00,15939,0.3758452937088383
2021-02-04 16:00:00,13182,0.44468555359057726
2021-02-04 20:00:00,12941,0.48428562599092895
2021-02-05 00:00:00,17735,0.43482253490524364
2021-02-05 04:00:00,18284,0.48094994462758006
2021-02-05 08:00:00,33799,0.40581179617333796
2021-02-05 12:00:00,47093,0.46384507409349696
2021-02-05 16:00:00,115065,0.4827960258830675
2021-02-05 20:00:00,59167,0.4319403820721478
2021-02-06 00:00:00,62528,0.41540400887877266
2021-02-06 04:00:00,23236,0.43558581003751096
2021-02-06 08:00:00,30577,0.4459081667563063
2021-02-06 12:00:00,26674,0.4901764670848385
2021-02-06 16:00:00,45856,0.4296629376290502
2021-02-06 20:00:00,20776,0.444886087547055
2021-02-07 00:00:00,27918,0.41778979188013965
2021-02-07 04:00:00,25620,0.41614426275447025
2021-02-07 08:00:00,27612,0.43460002113031876
2021-02-07 12:00:00,30685,0.4264213215181861
2021-02-07 16:00:00,21386,0.45734461161389484
2021-02-07 20:00:00,10862,0.4622228692748125
2021-02-08 00:00:00,24836,0.4234168185339374
2021-02-08 04:00:00,28990,0.48122539444256823
2021-02-08 08:00:00,44077,0.4443716758843881
2021-02-08 12:00:00,68144,0.414543915874339
2021-02-08 16:00:00,51490,0.45399590859352373
2021-02-08 20:00:00,191265,0.4758286423394421
2021-02-09 00:00:00,219779,0.49481973249108413
2021-02-09 04:00:00,82221,0.4551348647491032
2021-02-09 08:00:00,121298,0.467200238523205
2021-02-09 12:00:00,105470,0.44461213217160833
2021-02-09 16:00:00,269962,0.4877851294859937
2021-02-09 20:00:00,481687,0.4882570235508447
2021-02-10 00:00:00,202283,0.4697062749871335
2021-02-10 04:00:00,225058,0.47637432019248394
2021-02-10 08:00:00,118049,0.4484404257837844
2021-02-10 12:00:00,281025,0.47287625217245316
2021-02-10 16:00:00,208535,0.49033465315833924
2021-02-10 20:00:00,79502,0.45033611496800685
2021-02-11 00:00:00,86514,0.45038133761988014
2021-02-11 04:00:00,58351,0.46174254688991145
2021-02-11 08:00:00,114404,0.44361377873682384
2021-02-11 12:00:00,87108,0.44976380978395736
2021-02-11 16:00:00,103706,0.4290631597724078
2021-02-11 20:00:00,47424,0.4363600230580682
2021-02-12 00:00:00,54690,0.4630736102180436
2021-02-12 04:00:00,47532,0.4450999346135028
2021-02-12 08:00:00,68499,0.5012515665226269
2021-02-12 12:00:00,124246,0.46303307338525207
2021-02-12 16:00:00,62380,0.4422099765341376
2021-02-12 20:00:00,53038,0.5000331250227777
