ts,num_trades,taker_buy_ratio
2022-10-19 00:00:00,812169,0.512729982631136
2022-10-19 04:00:00,1269396,0.5146450086440963
2022-10-19 08:00:00,1303294,0.5067014755481953
2022-10-19 12:00:00,637686,0.5007466238893532
2022-10-19 16:00:00,443257,0.47622948636100454
2022-10-19 20:00:00,488173,0.5097160263994621
2022-10-20 00:00:00,408193,0.5167091338098072
2022-10-20 04:00:00,323261,0.5116218916535547
2022-10-20 08:00:00,307506,0.4881941569733774
2022-10-20 12:00:00,294946,0.4918306597874615
2022-10-20 16:00:00,282051,0.49556484038939014
2022-10-20 20:00:00,246861,0.5223686192118515
2022-10-21 00:00:00,324534,0.5227578011464519
2022-10-21 04:00:00,210119,0.4952828198916932
2022-10-21 08:00:00,336478,0.46816818705655017
2022-10-21 12:00:00,335714,0.5214679795357424
2022-10-21 16:00:00,193921,0.503258580465326
2022-10-21 20:00:00,97587,0.514039889948766
2022-10-22 00:00:00,193193,0.5064922092452534
2022-10-22 04:00:00,111793,0.5042174388150958
2022-10-22 08:00:00,420220,0.5359638710225068
2022-10-22 12:00:00,889050,0.525623053201267
2022-10-22 16:00:00,960239,0.5119215515700088
2022-10-22 20:00:00,536224,0.5151744934941308
2022-10-23 00:00:00,686695,0.5143958972752863
2022-10-23 04:00:00,904164,0.5190592716870092
2022-10-23 08:00:00,1068232,0.48782031989287145
2022-10-23 12:00:00,725417,0.5074279960659682
2022-10-23 16:00:00,759419,0.5065329867259082
2022-10-23 20:00:00,463308,0.498291211297238
2022-10-24 00:00:00,386546,0.48539026720612055
2022-10-24 04:00:00,361739,0.5233795524048005
2022-10-24 08:00:00,368067,0.4912537119751742
2022-10-24 12:00:00,741603,0.5106856571078676
2022-10-24 16:00:00,277935,0.4888722115193082
2022-10-24 20:00:00,315870,0.4825424877344016
2022-10-25 00:00:00,369224,0.4684812467328897
2022-10-25 04:00:00,290218,0.4810183198536893
2022-10-25 08:00:00,286045,0.5017972592451108
2022-10-25 12:00:00,433313,0.5053986076201675
2022-10-25 16:00:00,617796,0.4647266777679919
2022-10-25 20:00:00,342673,0.4897505824763171
2022-10-26 00:00:00,220210,0.5051351488493914
2022-10-26 04:00:00,332773,0.509492346170288
2022-10-26 08:00:00,359498,0.4696943203942017
2022-10-26 12:00:00,419968,0.49475298165611586
2022-10-26 16:00:00,260370,0.4935856967254363
2022-10-26 20:00:00,289297,0.5090600917187331
2022-10-27 00:00:00,345178,0.5017006548714789
2022-10-27 04:00:00,310609,0.5050306788090797
2022-10-27 08:00:00,366706,0.48240499600344117
