ts,num_trades,taker_buy_ratio
2021-01-01 00:00:00,30046,0.4206371302285149
2021-01-01 04:00:00,10101,0.4811669309130039
2021-01-01 08:00:00,26505,0.5381681295333293
2021-01-01 12:00:00,81093,0.4829318468189182
2021-01-01 16:00:00,36500,0.48146565147230447
2021-01-01 20:00:00,36379,0.49366827966672994
2021-01-02 00:00:00,29605,0.5136109825801957
2021-01-02 04:00:00,17020,0.3918422230815404
2021-01-02 08:00:00,22020,0.4940200519110387
2021-01-02 12:00:00,16274,0.47536571064841343
2021-01-02 16:00:00,21732,0.44993830661829587
2021-01-02 20:00:00,24100,0.5264983160767719
2021-01-03 00:00:00,10811,0.46908983114063596
2021-01-03 04:00:00,10930,0.4768222947332321
2021-01-03 08:00:00,19584,0.4645032462892654
2021-01-03 12:00:00,20378,0.465607902654204
2021-01-03 16:00:00,23340,0.4329101764928379
2021-01-03 20:00:00,17905,0.4821578731753595
2021-01-04 00:00:00,15176,0.4880616655856693
2021-01-04 04:00:00,37518,0.48174888394618887
2021-01-04 08:00:00,37217,0.48257667646642877
2021-01-04 12:00:00,15655,0.49605541998323816
2021-01-04 16:00:00,13780,0.43197706607559666
2021-01-04 20:00:00,13292,0.4827377054829927
2021-01-05 00:00:00,22891,0.4507776791292624
2021-01-05 04:00:00,16559,0.4390814893227205
2021-01-05 08:00:00,41437,0.46844409615971183
2021-01-05 12:00:00,32851,0.47683014263768003
2021-01-05 16:00:00,27088,0.4356189179556042
2021-01-05 20:00:00,18416,0.4791299796012325
2021-01-06 00:00:00,17528,0.47708197985679496
2021-01-06 04:00:00,25789,0.44607504503401596
2021-01-06 08:00:00,23883,0.5003281758779161
2021-01-06 12:00:00,20235,0.4023342481191396
2021-01-06 16:00:00,24870,0.4428893233099289
2021-01-06 20:00:00,22365,0.5185602026927877
2021-01-07 00:00:00,15935,0.49359508723733525
2021-01-07 04:00:00,12344,0.3554124869696991
2021-01-07 08:00:00,15205,0.4408008830159106
2021-01-07 12:00:00,16162,0.4548270422714743
2021-01-07 16:00:00,25385,0.44834447661217414
2021-01-07 20:00:00,16457,0.43472022312200415
2021-01-08 00:00:00,17865,0.4674449663377397
2021-01-08 04:00:00,15581,0.44382867049506125
2021-01-08 08:00:00,43514,0.45589591627501197
2021-01-08 12:00:00,42886,0.4397673365533897
2021-01-08 16:00:00,30520,0.4761463441021328
2021-01-08 20:00:00,38953,0.4938850533923239
2021-01-09 00:00:00,65483,0.5109817084971071
2021-01-09 04:00:00,37011,0.4857515726644592
2021-01-09 08:00:00,37226,0.47857313172873395
2021-01-09 12:00:00,37670,0.517244017135311
2021-01-09 16:00:00,30621,0.5092506187365602
2021-01-09 20:00:00,25168,0.5268368212716366
